time,open,high,low,close
2018-08-20T22:00:00Z,110.035,110.045,109.911,109.932
2018-08-20T23:00:00Z,109.932,110.002,109.926,109.953
2018-08-21T00:00:00Z,109.953,109.968,109.782,109.855
2018-08-21T01:00:00Z,109.855,109.975,109.774,109.962
2018-08-21T02:00:00Z,109.962,110.057,109.923,110
2018-08-21T03:00:00Z,110,110.143,109.981,110.128
2018-08-21T04:00:00Z,110.128,110.148,110.006,110.045
2018-08-21T05:00:00Z,110.045,110.148,110.038,110.067
2018-08-21T06:00:00Z,110.067,110.096,110.012,110.08
2018-08-21T07:00:00Z,110.08,110.186,110.029,110.167
2018-08-21T08:00:00Z,110.167,110.218,110.125,110.187
2018-08-21T09:00:00Z,110.187,110.289,110.165,110.278
2018-08-21T10:00:00Z,110.278,110.287,110.242,110.271
2018-08-21T11:00:00Z,110.271,110.328,110.211,110.319
2018-08-21T12:00:00Z,110.319,110.445,110.311,110.37
2018-08-21T13:00:00Z,110.37,110.485,110.304,110.457
2018-08-21T14:00:00Z,110.457,110.489,110.358,110.48
2018-08-21T15:00:00Z,110.48,110.493,110.39,110.486
2018-08-21T16:00:00Z,110.486,110.547,110.353,110.453
2018-08-21T17:00:00Z,110.453,110.513,110.312,110.321
2018-08-21T18:00:00Z,110.321,110.423,110.321,110.41
2018-08-21T19:00:00Z,110.41,110.472,110.394,110.405
2018-08-21T20:00:00Z,110.405,110.417,110.157,110.291
2018-08-21T21:00:00Z,110.291,110.294,110.156,110.163
2018-08-21T22:00:00Z,110.163,110.22,110.066,110.078
2018-08-21T23:00:00Z,110.078,110.175,110.045,110.117
2018-08-22T00:00:00Z,110.117,110.175,110.027,110.172
2018-08-22T01:00:00Z,110.172,110.267,110.145,110.177
2018-08-22T02:00:00Z,110.177,110.385,110.165,110.371
2018-08-22T03:00:00Z,110.371,110.499,110.366,110.437
2018-08-22T04:00:00Z,110.437,110.456,110.398,110.437
2018-08-22T05:00:00Z,110.437,110.498,110.411,110.416
2018-08-22T06:00:00Z,110.416,110.45,110.322,110.435
2018-08-22T07:00:00Z,110.435,110.45,110.395,110.423
2018-08-22T08:00:00Z,110.423,110.452,110.37,110.399
2018-08-22T09:00:00Z,110.399,110.41,110.247,110.262
2018-08-22T10:00:00Z,110.262,110.427,110.257,110.401
2018-08-22T11:00:00Z,110.401,110.45,110.204,110.278
2018-08-22T12:00:00Z,110.278,110.379,110.229,110.368
2018-08-22T13:00:00Z,110.368,110.454,110.316,110.376
2018-08-22T14:00:00Z,110.376,110.506,110.347,110.452
2018-08-22T15:00:00Z,110.452,110.617,110.443,110.546
2018-08-22T16:00:00Z,110.546,110.56,110.488,110.53
2018-08-22T17:00:00Z,110.53,110.583,110.499,110.512
2018-08-22T18:00:00Z,110.512,110.593,110.383,110.57
2018-08-22T19:00:00Z,110.57,110.597,110.491,110.5
2018-08-22T20:00:00Z,110.5,110.589,110.496,110.555
2018-08-22T21:00:00Z,110.555,110.586,110.539,110.542
2018-08-22T22:00:00Z,110.542,110.571,110.519,110.549
2018-08-22T23:00:00Z,110.549,110.678,110.537,110.59
2018-08-23T00:00:00Z,110.59,110.769,110.551,110.752
2018-08-23T01:00:00Z,110.752,110.865,110.731,110.795
2018-08-23T02:00:00Z,110.795,110.892,110.77,110.868
2018-08-23T03:00:00Z,110.868,110.869,110.782,110.8
2018-08-23T04:00:00Z,110.8,110.872,110.791,110.805
2018-08-23T05:00:00Z,110.805,110.93,110.779,110.872
2018-08-23T06:00:00Z,110.872,110.904,110.794,110.852
2018-08-23T07:00:00Z,110.852,110.883,110.787,110.801
2018-08-23T08:00:00Z,110.801,110.887,110.749,110.865
2018-08-23T09:00:00Z,110.865,110.928,110.847,110.901
2018-08-23T10:00:00Z,110.901,110.921,110.785,110.786
2018-08-23T11:00:00Z,110.786,110.835,110.752,110.832
2018-08-23T12:00:00Z,110.832,110.876,110.777,110.873
2018-08-23T13:00:00Z,110.873,111.089,110.868,111.059
2018-08-23T14:00:00Z,111.059,111.289,111.049,111.214
2018-08-23T15:00:00Z,111.214,111.245,111.114,111.147
2018-08-23T16:00:00Z,111.147,111.285,111.136,111.261
2018-08-23T17:00:00Z,111.261,111.293,111.201,111.217
2018-08-23T18:00:00Z,111.217,111.291,111.213,111.29
2018-08-23T19:00:00Z,111.29,111.316,111.233,111.288
2018-08-23T20:00:00Z,111.288,111.311,111.211,111.28
2018-08-23T21:00:00Z,111.28,111.324,111.225,111.297
2018-08-23T22:00:00Z,111.297,111.395,111.294,111.352
2018-08-23T23:00:00Z,111.352,111.406,111.324,111.366
2018-08-24T00:00:00Z,111.366,111.448,111.335,111.404
2018-08-24T01:00:00Z,111.404,111.465,111.319,111.361
2018-08-24T02:00:00Z,111.361,111.42,111.35,111.372
2018-08-24T03:00:00Z,111.372,111.484,111.371,111.477
2018-08-24T04:00:00Z,111.477,111.487,111.407,111.408
2018-08-24T05:00:00Z,111.408,111.426,111.349,111.377
2018-08-24T06:00:00Z,111.377,111.42,111.319,111.341
2018-08-24T07:00:00Z,111.341,111.402,111.306,111.398
2018-08-24T08:00:00Z,111.398,111.438,111.359,111.433
2018-08-24T09:00:00Z,111.433,111.483,111.405,111.434
2018-08-24T10:00:00Z,111.434,111.448,111.352,111.4
2018-08-24T11:00:00Z,111.4,111.421,111.283,111.31
2018-08-24T12:00:00Z,111.31,111.351,111.252,111.335
2018-08-24T13:00:00Z,111.335,111.421,111.298,111.367
2018-08-24T14:00:00Z,111.367,111.46,111.125,111.226
2018-08-24T15:00:00Z,111.226,111.258,111.146,111.222
2018-08-24T16:00:00Z,111.222,111.227,111.163,111.204
2018-08-24T17:00:00Z,111.204,111.204,111.103,111.173
2018-08-24T18:00:00Z,111.173,111.217,111.157,111.205
2018-08-24T19:00:00Z,111.205,111.205,111.162,111.177
2018-08-24T20:00:00Z,111.177,111.283,111.16,111.225
2018-08-26T21:00:00Z,111.314,111.327,111.29,111.291
2018-08-26T22:00:00Z,111.291,111.298,111.225,111.248
2018-08-26T23:00:00Z,111.248,111.348,111.239,111.292
2018-08-27T00:00:00Z,111.292,111.341,111.189,111.224
2018-08-27T01:00:00Z,111.224,111.258,111.179,111.23
2018-08-27T02:00:00Z,111.23,111.233,110.936,111.028
2018-08-27T03:00:00Z,111.028,111.082,111,111.059
2018-08-27T04:00:00Z,111.059,111.119,111.051,111.087
2018-08-27T05:00:00Z,111.087,111.134,111.017,111.024
2018-08-27T06:00:00Z,111.024,111.116,111.012,111.099
2018-08-27T07:00:00Z,111.099,111.157,111.067,111.154
2018-08-27T08:00:00Z,111.154,111.19,111.117,111.177
2018-08-27T09:00:00Z,111.177,111.193,111.116,111.119
2018-08-27T10:00:00Z,111.119,111.139,111.071,111.124
2018-08-27T11:00:00Z,111.124,111.125,111.015,111.015
2018-08-27T12:00:00Z,111.015,111.049,110.967,111.023
2018-08-27T13:00:00Z,111.023,111.048,110.95,111.046
2018-08-27T14:00:00Z,111.046,111.084,110.99,111.046
2018-08-27T15:00:00Z,111.046,111.101,111.015,111.091
2018-08-27T16:00:00Z,111.091,111.104,111.026,111.046
2018-08-27T17:00:00Z,111.046,111.111,111.025,111.095
2018-08-27T18:00:00Z,111.095,111.119,111.075,111.101
2018-08-27T19:00:00Z,111.101,111.113,111.07,111.084
2018-08-27T20:00:00Z,111.084,111.09,111.051,111.074
2018-08-27T21:00:00Z,111.074,111.097,110.99,111.052
2018-08-27T22:00:00Z,111.052,111.091,111.038,111.073
2018-08-27T23:00:00Z,111.073,111.179,111.073,111.135
2018-08-28T00:00:00Z,111.135,111.23,111.123,111.21
2018-08-28T01:00:00Z,111.21,111.289,111.189,111.272
2018-08-28T02:00:00Z,111.272,111.349,111.244,111.344
2018-08-28T03:00:00Z,111.344,111.356,111.306,111.321
2018-08-28T04:00:00Z,111.321,111.33,111.224,111.228
2018-08-28T05:00:00Z,111.228,111.257,111.192,111.237
2018-08-28T06:00:00Z,111.237,111.26,111.164,111.17
2018-08-28T07:00:00Z,111.17,111.208,111.116,111.143
2018-08-28T08:00:00Z,111.143,111.153,111.066,111.086
2018-08-28T09:00:00Z,111.086,111.123,111.014,111.025
2018-08-28T10:00:00Z,111.025,111.093,111.023,111.073
2018-08-28T11:00:00Z,111.073,111.117,111.033,111.035
2018-08-28T12:00:00Z,111.035,111.1,110.996,111.084
2018-08-28T13:00:00Z,111.084,111.127,110.954,111.018
2018-08-28T14:00:00Z,111.018,111.181,110.988,111.137
2018-08-28T15:00:00Z,111.137,111.169,111.036,111.047
2018-08-28T16:00:00Z,111.047,111.099,111.009,111.081
2018-08-28T17:00:00Z,111.081,111.097,111.042,111.096
2018-08-28T18:00:00Z,111.096,111.238,111.096,111.221
2018-08-28T19:00:00Z,111.221,111.247,111.179,111.2
2018-08-28T20:00:00Z,111.2,111.213,111.173,111.191
2018-08-28T21:00:00Z,111.191,111.199,111.131,111.178
2018-08-28T22:00:00Z,111.178,111.211,111.169,111.17
2018-08-28T23:00:00Z,111.17,111.202,111.144,111.149
2018-08-29T00:00:00Z,111.149,111.275,111.134,111.247
2018-08-29T01:00:00Z,111.247,111.275,111.223,111.268
2018-08-29T02:00:00Z,111.268,111.317,111.246,111.282
2018-08-29T03:00:00Z,111.282,111.283,111.25,111.259
2018-08-29T04:00:00Z,111.259,111.26,111.209,111.231
2018-08-29T05:00:00Z,111.231,111.244,111.122,111.166
2018-08-29T06:00:00Z,111.166,111.247,111.128,111.242
2018-08-29T07:00:00Z,111.242,111.257,111.172,111.183
2018-08-29T08:00:00Z,111.183,111.22,111.159,111.208
